ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
notting hill 1	When in 1952 he held an exhibition of his work at the Gallery in Notting Hill , he rang Minton and invited him to see it .
nottingham forest 1	The linesman has flagged there and it 's gone Nottingham Forest way .
notts county 1	We should have a visit by the head of the Notts County Council Highways , for the footpaths ' scheme .
nouveau art -1	The definite Art Nouveau style and the somewhat shaky signature are regarded by the gallery as indicating a date after 1900 .
nova scotia 1	Hughes ( 1972 ) found growth to be confined to the period from late April to late September on the Atlantic coast of Nova Scotia .
novel new -1	A duty to describe is the moral hallmark of the new novel .
novell inc 1	The router is claimed to pass TCP/IP , Novell Inc 's and NetBIOS across the network .
november mid -1	Omar Hassan Ahmad al-Bashir took steps in mid-November to crush internal opposition based the labour movement .
nowhere else 1	People are still being referred to the centre by social services because there is nowhere else for them to go .
nowhere going -1	He had come to London to push an investigation , and the investigation was going nowhere .
nowhere near 1	She remembered helping in the hotel kitchen she was ten but nowhere near the Bar .
nowhere seen 3	When he finally turned into Brunel Road and to catch his breath the others were nowhere to be seen .
nuclear disarmament 1	Two more coffees were brought to the table by the Campaign for Nuclear Disarmament .
nuclear family 1	The move of the elderly from the family to institutions is partly a result of the change from extended family to nuclear family .
nuclear fuels 1	Close-up of brief case reveals a Nuclear Fuels logo on it .
nuclear scottish -1	The is clearly a good cause , well worthy of the support of everyone in Scottish Nuclear .
nuclear waste 1	How else could we have appreciated the dangers of ocean pollution , the extraordinary risks that are being taken with nuclear waste ?
nucleation time 1	Other phosphatidylcholine species such as palmitate oleate , and stearate oleate produced shorter nucleation time .
nucleic acid 1	Science is still on the handedness of all sub-units of protein and nucleic acid in earthborn cells .
nucleic acids 1	But both can be said to have a basic requirement for nitrogen , which they incorporate into their own proteins and nucleic acids .
number certain -1	And they probably have n't if they get five hundred certain number and five hundred thousand you know ?
number jobs 2	And that is a very large increase in the number of jobs .
number occasions 2	Robert had been vague about them an embarrassing number of occasions .
number opposite -1	The principal of the will visit Darlington college tomorrow to meet his opposite number Peter .
number plate 1	I found the red Transit easily enough , it was the only one in the street and it had the same number plate as yesterday .
number reducing -2	By including bosses you will be improving your chances of inflicting casualties and reducing the number of casualties sustained .
number registration -1	For this purpose , a company may be identified by stating its tax district and number or its company registration number .
number serial -1	The request serial number should be noted in a control log book .
number vast -1	Do too little and no one takes any ; do a vast number of papers and you may be accused of superficiality or lack of care .
numbers equal -1	A new police force has been created , with equal numbers of ex-soldiers and ex-guerrillas in its ranks .
numbers larger -1	We calculated 95 % confidence intervals with exact error factors for Poisson mean for numbers less than 30 and with the asymptotic error factor approximation for larger numbers .
numbers phone -1	Incidentally , it is also useful to have a list of relevant phone numbers .
